model,accuracy,precision_no_empathy,recall_no_empathy,f1_no_empathy,precision_empathy,recall_empathy,f1_empathy,macro_precision,macro_recall,macro_f1,weighted_f1
Logistic Regression,0.8241803278688524,0.8320825515947468,0.9615176151761518,0.8921297460397284,0.7694805194805194,0.3983193277310924,0.5249169435215947,0.8007815355376331,0.679918471453622,0.7085233447806616,0.8025840011633802
Random,0.4864754098360656,0.7375601926163724,0.4981029810298103,0.5946295697185376,0.22445561139028475,0.4504201680672269,0.29960871995528227,0.48100790200332855,0.4742615745485186,0.44711914483690995,0.5226880100426619
Naive Bayes,0.7586065573770492,0.7584362139917695,0.9989159891598915,0.8622222222222222,0.8,0.013445378151260505,0.026446280991735537,0.7792181069958848,0.506180683655576,0.44433425160697887,0.6584162037664273
Most Frequent Class,0.7561475409836066,0.7561475409836066,1.0,0.8611435239206534,0.0,0.0,0.0,0.3780737704918033,0.5,0.4305717619603267,0.6511515580465597
