experiment,split,accuracy,macro_f1,precision_empathy,recall_empathy,f1_empathy,precision_no_empathy,recall_no_empathy,f1_no_empathy,C,token_coverage,doc_coverage,sg,vector_size,window,min_count,epochs,source,dm
D1_tfidf_reference,test,0.8440442079410561,0.7463801702074091,0.822289156626506,0.4588235294117647,0.5889967637540453,0.8474656560871625,0.9680735930735931,0.9037635766607729,1.0,,,,,,,,,
D5_doc2vec,test,0.7986082685223086,0.6986521586521586,0.6167800453514739,0.45714285714285713,0.525096525096525,0.8386613386613386,0.9085497835497836,0.8722077922077922,1.0,,1.0,,100.0,5.0,2.0,20.0,,0.0
D2_word2vec_average,test,0.7503069995906673,0.544104870288791,0.4634146341463415,0.15966386554621848,0.2375,0.7765862377122431,0.9404761904761905,0.850709740577582,1.0,0.986228813559322,0.9994882292732856,0.0,100.0,5.0,2.0,20.0,,
D4_fasttext_average,test,0.7482603356528857,0.5332985429994549,0.4473684210526316,0.14285714285714285,0.21656050955414013,0.7736351531291611,0.9431818181818182,0.8500365764447696,1.0,1.0,1.0,0.0,100.0,5.0,2.0,20.0,,
D3_glove_average,test,0.7466230045026606,0.4585156075159566,0.3181818181818182,0.03529411764705882,0.06354009077155824,0.7585191417753471,0.9756493506493507,0.853491124260355,1.0,0.9947332298878014,1.0,,100.0,,,,glove-wiki-gigaword-100,
